,Reviews,Labels,Updated_reviews
1508,Good nice fresh vegetables at door step. very nice service. I like quality of vegetables delivered. ,1,good nice fresh vegetable door step nice service like quality vegetable deliver
1509,"Good quallity cabbage, good size too in this highly affordable price. D Fresh is doing wonders. Best wishes!! ",1,good quallity cabbage good size highly affordable price fresh wonder good wish
1510,Excellent quality of vegetables I ordered and I received discount using visa card it was an excellent experience to buy from dfresh will order again soon inshallah thanks daraz for providing best service best rates and free delivery keep up the good work. Seller is very good and cooperative they reply on time,1,excellent quality vegetable order receive discount use visa card excellent experience buy dfresh order soon inshallah thank daraz provide good service good rate free delivery keep good work seller good cooperative reply time
1511,Excellent quality of vegetables I ordered and I received discount using hbl card it was an excellent experience to buy from dfresh will order again soon inshallah thanks daraz for providing best service best rates and free delivery keep up the good work. Seller is very good and cooperative they reply on time ,1,excellent quality vegetable order receive discount use hbl card excellent experience buy dfresh order soon inshallah thank daraz provide good service good rate free delivery keep good work seller good cooperative reply time
1512,"Almost every thing was very fresh, excellent quality vegetables, reasonable price, really satisfied with daraz dfresh",1,almost every thing fresh excellent quality vegetable reasonable price really satisfy daraz dfresh
1513,fresh vegetables and fruits very well packed and delivered on time happy with the products and services... thanks,1,fresh vegetable fruit well pack deliver time happy product service thank
1514,All vegetables are good clean fresh and reasonable price as compared to our nearer market price. thanks Daraz. Good job seller.,1,vegetable good clean fresh reasonable price compare near market price thank daraz good job seller
1515,fresh vegetables and fruits very well packed and delivered on time happy with the products and services... thanks,1,fresh vegetable fruit well pack deliver time happy product service thank
1516,"Package was received, all the vegetables found good, fresh looking and well packed except 2 items that are missing in delivery:

Note: missing items are delivered next day on 11/12/20 and are fine.",1,package receive vegetable find good fresh look well pack except 2 item miss delivery note miss item deliver next day 111220 fine
1517,"Excellent experienced
Avail discount thanks to Daraz
also received genuine product
nicley pack and ⏩ fast delivery",1,excellent experienced avail discount thank daraz also receive genuine product nicley pack fast delivery
1518,All vegetables are clean fresh and reasonable price as compare to our nearer market rates. thanks daraz. Good job seller.,1,vegetable clean fresh reasonable price compare nearer market rate thank daraz good job seller
1519,fresh vegetables very well packed and quick delivery...happy with the products and services...seller recommended thanks daraz👍,1,fresh vegetable well pack quick deliveryhappy product servicesseller recommend thank daraz
1520,The vegetables are very fresh and same as described PREMIUM QUALITY. It is in a very cheap price than market. I highly recommend buying products from dFresh.,1,vegetable fresh describe premium quality cheap price market highly recommend buying product dfresh
1521,The product is very fresh and same as described. Very quick delivery during lockdown. It is hygienically packed and is of very good quality. I highly recommend buying products from dfresh.,1,product fresh describe quick delivery lockdown hygienically pack good quality highly recommend buying product dfresh
1522,This is the second time I bought cabbage from daraz. I am really happy with the product. It is very very fresh and definitely weighed little more than 1 kg.  Very good for the price paid. Thanks a lot daraz.  Surely recommended. ,1,second time buy cabbage daraz really happy product fresh definitely weigh little 1 kg good price pay thank lot daraz surely recommend
1523,"Not satisfied with the quality.
It wasn't fresh at all. It was getting rusted.
you can see in the pictures.",0,satisfied quality be not fresh get rust see picture
1524,Received as described. Recommended for every one to Buy from Here. Packaging is also good and when i Buy.,1,receive describe recommend every one buy packaging also good buy
1525,The product is same as described.It is very fresh and is of very good quality.quickly delivered in lockdown and price much cheaper than market.I highly recommend buying products from dfresh.,1,product describedit fresh good qualityquickly deliver lockdown price much cheap marketi highly recommend buy product dfresh
1526," product was very nice and was large in size as well.
It was delivered very quickly and on time.Better quality than market vegetables and you can get it at your home with free shipping as well.Highly recommended to buy vegetables from here.",1,product nice large size well deliver quickly timebett quality market vegetable get home free shipping wellhighly recommend buy vegetable
1527,Received as described. Recommended for every one to Buy from Here. Packaging is also good and when i Buy. this after cutting photo,1,receive describe recommend every one buy packaging also good buy cut photo
1528,"The quality and freshness is excellent. 
delivery was after 2 days.
They were well packed with no damage. 
Price are very reasonable and on some products even less than the local nearby market. Totally Satisfied. ",1,quality freshness excellent delivery 2 day well pack damage price reasonable product even less local nearby market totally satisfy
1529,"Very good quality and fresh vegetables, reasonable price, delivery in one day only,I recommend it.",1,good quality fresh vegetable reasonable price delivery one day onlyi recommend
1530,very nice and fresh vegetables available at reasonable prices with free delivery above 500 rupees,1,nice fresh vegetable available reasonable price free delivery 500 rupee
1531,As always cabbage is fresh and of good quality. Recommended. ,1,always cabbage fresh good quality recommend
1532,"Premium quality cabbage, fresh & well packed timely delivered fully satisfied with the seller.",1,premium quality cabbage fresh well pack timely deliver fully satisfied seller
1533,thanks DFresh Good Quality,1,thank dfresh good quality
1534,Alhumdulillah Satisfied !!,1,alhumdulillah satisfy
1535,Fresh vegetables recommended seller and delivered on time,1,fresh vegetable recommend seller deliver time
1536,"very good same as show in advertisement, fresh and nice, good taste, i recommend it.",1,good show advertisement fresh nice good taste recommend
1537,Fresh 👍👍👍 Good Quality 👍👍👍 Same as Described 👍👍👍 I Recommend to Buy 👍👍👍.,1,fresh good quality describe recommend buy
1538,good and fresh vegetables at doorstep and rate is less as compared to nearby shops,1,good fresh vegetable doorstep rate less compare nearby shop
1539,Fresh products and timely delivery.. highly recommended for grocery shopping! 👍,1,fresh product timely delivery highly recommend grocery shopping
1540,This time all vegeitable is good and fresh and timely delivered will be 5 star,1,time vegeitable good fresh timely deliver 5 star
1541,fresh cabbage thi good quality thanks DFresh,1,fresh cabbage thi good quality thank dfresh
1542,good quality product . and thanks for gift ,1,good quality product thank gift
1543,fresh and nice delivered at door step. very good service at reasonable price,1,fresh nice deliver door step good service reasonable price
1544,fresh as always. im using this service from a while. never got any complaint,1,fresh always -PRON- be use service never get complaint
1545,"very good product 👍👍 , good service 👍👍",1,good product good service
1546,great and cheap price than local market .,1,great cheap price local market
1547,their packaging is always very good and professional. completely satisfied,1,packaging always good professional completely satisfy
1548,"fresh Quality low price
happy customer",1,fresh quality low price happy customer
1549,Happy to receive. It was Packed well & delivered even in the lockdown. ,1,happy receive pack well deliver even lockdown
1550,Bund Gobhi were fresh and of good quality as always. Nice packaging. ,1,bund gobhi fresh good quality always nice packaging
1551,fresh cheap and delivered on time ,1,fresh cheap deliver time
1552,"NICE , FRESH AND VERY QUALITY FRUITS AND VEGETABLES AND VERY FAST DELIVERY - SELLER PERSONALLY RECOMMENDED ",1,nice fresh quality fruit vegetable fast delivery seller personally recommend
1553,Its fresh and affordable. i checked the weight too. its perfect. some are little less and some more grams. its not daraz fault becoze the items are not in pieces . thanks daraz. ,1,fresh affordable check weight perfect little less gram daraz fault becoze item piece thank daraz
1554,some tomatoes and onions are bad quality but overall not bad. delivery time is good. I am satisfied with it.,1,tomatoes onion bad quality overall bad delivery time good satisfied
1555,fresh and fast service low price,1,fresh fast service low price
1556,good and fresh vegetables i love to shopping using Daraz Dfresh. ,1,good fresh vegetable love shopping use daraz dfresh
1557,Good nice and well pack vegetables freshly delivered at door step,1,good nice well pack vegetable freshly deliver door step
1558,"very nice product 👍 , reasonable price 💵 , highly recommend 🌟",1,nice product reasonable price highly recommend
1559,"really glad with the service tried it for the first time.
beyond our expectations. 
keep it up...",1,really glad service try first time beyond expectation keep
1560,good nice and fresh at reasonable price recommend others to buy,1,good nice fresh reasonable price recommend other buy
1561,reasonable price... fresh vegetable ,1,reasonable price fresh vegetable
1562,its good & fresh vegetables with free delivery. thanx to daraz,1,good fresh vegetable free delivery thanx daraz
1563,Recommended for everyone to buy from here. Everything is good,1,recommend everyone buy everything good
1564,best online shop for fresh vegetables and fruit at low price,1,good online shop fresh vegetable fruit low price
1565,Fresh cabbage. Satisfied,1,fresh cabbage satisfy
1566,"best service
best quality at
low price
reccomended to all",1,good service good quality low price reccomende
1567,All vegetables are fresh Clean and in reasonable price.,1,vegetable fresh clean reasonable price
1568,Daraz Happy Customer,1,daraz happy customer
1569,always behtreen & fresh thanx daraz & special  thanx for surprise gift coca cola can ,1,always behtreen fresh thanx daraz special thanx surprise gift coca cola
1570,fresh as always 😍,1,fresh always
1571,band gobi is fresh,1,band gobi fresh
1572,fresh vegetables ,1,fresh vegetable
1573,everything is fresh well packed and rec on time...,1,everything fresh well pack rec time
1574,vegetables were fresh and delivered on time thanks,1,vegetable fresh deliver time thank
1575,Fresh cauliflowers. Daraz has made our lives easy.,1,fresh cauliflower daraz make life easy
1576,"quality item, fresh, well packed, timely delivered",1,quality item fresh well pack timely deliver
1577,"was fresh and good quality, liked and recommended",1,fresh good quality like recommend
1578,Fresh cabbage and the weight is also very good.  I am happy with the stuff.  Highly recommended   ,1,fresh cabbage weight also good happy stuff highly recommend
1579,"vegetables are very fresh 
quality was also good 
love it surely order next time 
thankyou so much daraz ❤️😊",1,vegetable fresh quality also good love surely order next time thankyou much daraz
1580,satisfied with freshness...thankss daraz❤❤😍😍,1,satisfied freshnessthankss daraz
1581,Fresh vegetables and delivery always on time,1,fresh vegetable delivery always time
1582,fresh stock with one day- timely delivery 🚚,1,fresh stock one day timely delivery
1583,everything is fresh on time delivery 👍😊..,1,everything fresh time delivery
1584,"good quality and fresh ,recommended to all",1,good quality fresh recommend
1585,nice and fresh vegetables and fruits..,1,nice fresh vegetable fruit
1586,Happy Daraz Costumer Fast Delivery,1,happy daraz costumer fast delivery
1587,good satisfied with all vegetables,1,good satisfied vegetable
1588,Very fresh n gud quality vegetables from daraz.Highly recommended.,1,fresh n gud quality vegetable darazhighly recommend
1589,Freshly delivered. Satisfied! 👍,1,freshly deliver satisfied
1590,cabbage better and quality fine.,1,cabbage well quality fine
1591,Fresh cabbage in perfect packing,1,fresh cabbage perfect packing
1592,All vegetables and fruits were fresh as usual. Love your service.,1,vegetable fruit fresh usual love service
1593,"Fresh from dFresh, Good service",1,fresh dfresh good service
1594,quick service fresh vegetables.,1,quick service fresh vegetable
1595,good Quality but delay delivery,1,good quality delay delivery
1596,Cabbage is good and well packed,1,cabbage good well packed
1597,good and fresh vegetables 👍😌,1,good fresh vegetable
1598,Nice packing fresh vegetables ,1,nice pack fresh vegetable
1599,750grams does not equal 1 kg. Please stop sending less weight! ,0,750grams equal 1 kg please stop send less weight
1600,it's always a wonderful experience buying vegetables from daraz,1,always wonderful experience buying vegetable daraz
1601,all are fresh recommend it...,1,fresh recommend
1602,very  gooD n Fresh vegetables,1,good n fresh vegetable
1603,Totally outstanding freshness,1,totally outstanding freshness
1604,cabbage was good in quality ,1,cabbage good quality
1605,All vegi & fruits are fresh.,1,vegi fruit fresh
1606,fresh vegetables always..,1,fresh vegetable always
1607,fresh vegetables 😊 zbrdast,1,fresh vegetable zbrdast
1608,Fresh and nicely packed 👍,1,fresh nicely pack
1609,better product this time,1,well product time
1610,always fresh from dFresh,1,always fresh dfresh
1611,good quality vegetables,1,good quality vegetable
1612,AllGood ...satisfied!!,1,allgood satisfy
1613,fresh arrived on time,1,fresh arrive time
1614,good quality Cabbage!,1,good quality cabbage
1615,The order was perfectly fresh......as shown in picture,1,order perfectly fresha show picture
1616,very gooD vegetables,1,good vegetable
1617,very very poor.. very bad quality.. never recommended,0,poor bad quality never recommend
1618,check the freshness,1,check freshness
1619,fresh and excellent quality veggies highly recommend,1,fresh excellent quality veggie highly recommend
1620,Excellent service upto the mark and product as well ,1,excellent service upto mark product well
1621,Very fresh item,1,fresh item
1622,Good Packaging ,1,good packaging
1623,good satisfied,1,good satisfied
1624,All vegetables are fresh and delivered in time.,1,vegetable fresh deliver time
1625,Fresh cabbage,1,fresh cabbage
1626,good thanks.,1,good thank
1627,good quality nd delivery time 100% satisfied,1,good quality nd delivery time 100 satisfied
1628,"fresh and good quality 
delivered on time ",1,fresh good quality deliver time
1629,Price is little higher but quality is fine,1,price little high quality fine
1630,Cabbage was fresh and Good Quality delivered at doorstep on time with free delivery. Thanks daraz for making vegetable and fruits available at doorstep fresh and healthy.,1,cabbage fresh good quality deliver doorstep time free delivery thank daraz make vegetable fruit available doorstep fresh healthy
1631,All vegetables are fresh.best quality.,1,vegetable freshb quality
1632,   Cabbage was just filled with sand,0,cabbage fill sand
1633,fresh product .. extremely happy :),1,fresh product extremely happy
1634,was fresh and well packed and at reasonable price with free delivery at doorstep. Thanks daraz for making vegetables and fruits available at door step very fast that is on next day of order,1,fresh well pack reasonable price free delivery doorstep thank daraz make vegetable fruit available door step fast next day order
1635,fresh veggies good experience ,1,fresh veggie good experience
1636,fresh fresh fresh Cabbage 😊,1,fresh fresh fresh cabbage
1637,Vegetables were satisfactory,1,vegetables satisfactory
1638,All Fresh Veges. Thanks 😊👍,1,fresh vege thank
1639,good quality and low price ,1,good quality low price
1640,good n fresh Alhamdulillah,1,good n fresh alhamdulillah
1641,"The cabbage was cheap and fresh. However, I would recommend you to buy the premium one. Because you just have to pay a few more rupees and it is worth it. ",1,cabbage cheap fresh however would recommend buy premium one pay rupee worth
1642,this time it disappointed,0,time disappoint
1643,"Late but Fresh, Satisfied",1,late fresh satisfied
1644,fresh and fast delivery ,1,fresh fast delivery
1645,very fresh. good quality,1,fresh good quality
1646,all items net n fresh,1,item net n fresh
1647,not fresh and damage,0,fresh damage
1648,very good quality 👍,1,good quality
1649,Very good this time ,1,good time
1650,Fresh as always..,1,fresh always
1651,very good quality,1,good quality
1652,Received fresh ,1,receive fresh
1653,Fresh cabbage,1,fresh cabbage
1654,"Got fresh and good vegetable and well packed, Price was very reasonable and is value for money, fully satisfied, Daraz dfresh",1,get fresh good vegetable well pack price reasonable value money fully satisfy daraz dfresh
1655,"Daraz is❤ Got them during Daraz 12.12 Sale I got complementary Coke, really sweet gesture💕 Received in 48hrs ordered so many vegetables from them & everything is upto mark, from quality to quantity, prices are definitely beating market value & we're getting preumium quality! matlab aur Kya chahea?! Fresh, Quick, Premium quality! Recommended",1,daraz get daraz 1212 sale get complementary coke really sweet gesture receive 48hrs order many vegetable everything upto mark quality quantity price definitely beat market value get preumium quality matlab aur kya chahea fresh quick premium quality recommend
1656,very fresh cabbage as always gud experience made vry tasty dish. ,1,fresh cabbage always gud experience make vry tasty dish
1657,"The quality of the item was not very good. Moreover,   weight of the item was less. I ordered 1 kg but they sent me 742 gm which is not fair. I complained to Daraz but they refused to take any action.",0,quality item good moreover weight item less order 1 kg send 742 gm fair complain daraz refuse take action
1658,I have been a regular dfresh customer and I'm satisfied everytime with the purchase. good quality fresh cabbage delivered to my house the next day of ordering. the taste of this cabbage is great. nice competitive pricing lower than market. will definitely order more in future. recommended.,1,regular dfresh customer -PRON- be satisfy everytime purchase good quality fresh cabbage deliver house next day order taste cabbage great nice competitive pricing low market definitely order future recommend
1659,"Best platform to buy fresh vegetables from daraz dfresh, deliver on time with proper packing, really satisfied with quality,",1,good platform buy fresh vegetable daraz dfresh deliver time proper packing really satisfied quality
1660,"Fresh vegetables received, excellent quality more than you expect for the price range, It's pretty rare to find quality at affordable price tag, thanks dfresh daraz.pk",1,fresh vegetable receive excellent quality expect price range pretty rare find quality affordable price tag thank dfresh darazpk
1661,"Daraz never disappoints me Alhumdulillah my orders from past 3 years are completely satisfactory, for me daraz is the best app to shop hassle free! Their customer service is literally topnotch! 5 stars from my side",1,daraz never disappoint alhumdulillah order past 3 year completely satisfactory daraz good app shop hassle free customer service literally topnotch 5 star side
1662,Products were good and fresh. ,1,product good fresh
1663,Cabbage is fresh and well packed on time delivery..iam pleased with the dfresh products and prices are reasonable..thanks daraz,1,cabbage fresh well pack time deliveryiam pleased dfresh product price reasonablethank daraz
1664,fresh good size.. very good as compare to local market with free delivery good price. get free coke cane also thank you daraz,1,fresh good size good compare local market free delivery good price get free coke cane also thank daraz
1665,very fresh ☺️ vegetables and fastest delivery within 1 day 😊 💯 fresh ⭐⭐⭐⭐⭐daraz is the best 👍 and thanks for the free cokes❤️👍👌,1,fresh vegetable fast delivery within 1 day fresh daraz good thank free coke
1666,I am your regular buyer of vegetables and this is what you give very disappointed by the quality ,0,regular buyer vegetable give disappointed quality
1667,very good cabbage thanks daraz,1,good cabbage thank daraz
1668,"100% Authentic 
Fresh
Big 
Economical
Fast shipment
Safely Arrived...

Yayyy! Again wonderful experienced to bought (variety of fruits and vegetables ) loved the quality and quantity fully loaded... All of them were sparetely packed and fresh. Price is economical as always. So don't wait just order from daraz... enjoy economical and safe shopping. :) seller is so responsive, highly recommended... Thanks to daraz and team hero's for fast shipment :)",1,100 authentic fresh big economical fast shipment safely arrive yayyy wonderful experience buy variety fruit vegetable love quality quantity fully load sparetely pack fresh price economical always do not wait order daraz enjoy economical safe shopping seller responsive highly recommend thank daraz team heros fast shipment
1669,"Wonderful experienced.... bought variety of fruits and vegetables... Loved the quality as always. All of them were fresh and good in taste. Price is economical with great and separately packed. 100% authentic and same as shown in picture. Seller is so responsive, Highly recommended. Thanks to daraz and team hero's for fast shipment :) good job ",1,wonderful experience buy variety fruit vegetable love quality always fresh good taste price economical great separately pack 100 authentic show picture seller responsive highly recommend thank daraz team heros fast shipment good job
1670,vegetables were fresh and at afoordable prices without shipping charges for order more than PKR 500. Thanks alot.,1,vegetable fresh afoordable price without shipping charge order pkr 500 thank alot
1671,"I have ordered the vegetables from dfresh, received order after one day at home, the price of vegetables are also less from market and all vegtables are fresh, thanks daraz dfresh",1,order vegetable dfresh receive order one day home price vegetable also less market vegtable fresh thank daraz dfresh
1672,"I was Amazed to see the Quality of Vegetables and Fruits.Parcel received in good condition,Each Stuff well packed. Fresh and Clean. Next day Delivery. Seller Recommended. Looking forward for my next purchase at dFresh with good offers. Great Shopping Experience as always with Daraz.",1,amazed see quality vegetable fruitsparcel receive good conditioneach stuff well pack fresh clean next day delivery seller recommend look forward next purchase dfresh good offer great shopping experience always daraz
1673,Very nice fresh vegetables & fruits on discount rates  quick service thanks Daraz to provide us such a good platform.,1,nice fresh vegetable fruit discount rate quick service thank daraz provide -PRON- good platform
1674,"normally received fresh product but sometimes bad item received, return request also cancelled by daraz",0,normally receive fresh product sometimes bad item receive return request also cancel daraz
1675,"Fresh vegetables received , very good packaging and timely delivered, fully satisfied with daraz dFresh, reasonable prices.",1,fresh vegetable receive good packaging timely deliver fully satisfy daraz dfresh reasonable price
1676,I haven't got any lettuce in the neither plastic bag nor brown paper bag  and also made my complaint at customer service and  going to e-mail them with attachments. ,0,have not get lettuce neither plastic bag brown paper bag also make complaint customer service go email attachment
1677,Excellent service by seller. product as per description. everything upto the mark. no compromise on quality. vegetables along with discounts,1,excellent service seller product per description everything upto mark compromise quality vegetable along discount
1678,"This is my first experience from daraz dfresh, really surprised every thing is up to mark, fresh vegetables, good packaging, prices are reasonable and free shipping option is awesome, keep it up dfresh",1,first experience daraz dfresh really surprise every thing mark fresh vegetable good packaging price reasonable free shipping option awesome keep dfresh
1679,"Got fresh and good vegetable and well packed, Price was very reasonable and is value for money, fully satisfied, Daraz dfresh",1,get fresh good vegetable well pack price reasonable value money fully satisfy daraz dfresh
1680,"It's my 1st experience to buy vegetables from dfresh, really surprised with quality, they were fresh and we'll packed.",1,1st experience buy vegetable dfresh really surprised quality fresh well packed
1681,Good Hygiene Good Quality Vegetable's. Prices are very competitive and i find it very low as compared t the local market. Excellent Service 👍🏻,1,good hygiene good quality vegetable price competitive find low compare local market excellent service
1682,Excellent service up to the mark as always very good packing and quality is superb and delivered on time thanks daraz for providing best service.,1,excellent service mark always good packing quality superb deliver time thank daraz provide good service
1683,"Quality and quantity both were outstanding, i really appreciate the whole process of ordering and frequent notification order status via Gmail so that we can remember and track the order. above all I also received the parcel on specified time with invoice too. Thanks for such helpful and handy platform. Overall it was good experience and hope now onwards will order fresh Vegetables via daraz.
Thanks",1,quality quantity outstanding really appreciate whole process order frequent notification order status via gmail remember track order also receive parcel specify time invoice thank helpful handy platform overall good experience hope onwards order fresh vegetable via daraz thank
1684,We order the vegetables every week and have never been disappointed. Great service. Would highly recommend. ,1,order vegetable every week never disappoint great service would highly recommend
1685,Vegetable was very fresh and affordable price loved the experience I will always order from D-fresh ,1,vegetable fresh affordable price love experience always order dfresh
1686,good experience fresh vegetables and delivery at time. l always buy vegetables and fruit through dfresh ,1,good experience fresh vegetable delivery time l always buy vegetables fruit dfresh
1687,"I always received fresh vegetables and fruits on normal rate with good quality that's why I recommend to all my friends and relatives for buy from Daraz and they all are happy now.
Thanks Daraz Team
Asif Memon",1,always receive fresh vegetable fruit normal rate good quality that s recommend friend relative buy daraz happy thank daraz team asif memon
1688,"Received product according to the order, quality was very good. I am happy and satisfied to receive 1st order. I have already ordered the 2nd one which is 3 times than the 1sr order. Thank you Daraz, dFresh. ",1,receive product accord order quality good happy satisfied receive 1st order already order 2nd one 3 time 1sr order thank daraz dfresh
1689,all the vegetables were delivered fresh with proper packing!!! it's so cheap and economical and I'll InshaAllah buy it next time to! good value for money👍👍,1,vegetable deliver fresh proper packing cheap economical ill inshaallah buy next time good value money
1690,"product is excellent and as described, fresh vegetables are delivered on tym, nice packging, really worth buying, its so easy and comfortable to buy fruites and veggies from daraz as  i received them on my door step and less then market price and quality is excellent, love to shop from daraz😍😍👏👏👏😘",1,product excellent describe fresh vegetable deliver tym nice packging really worth buy easy comfortable buy fruite veggie daraz receive door step less market price quality excellent love shop daraz
1691,I've been using dfresh for months...always receive vegetables and fruits on time with great packing..and also the vegetables and fruits are premium quality..very satisfied,1,-PRON- have use dfresh monthsalway receive vegetable fruit time great packingand also vegetable fruit premium qualityvery satisfied
1692,"good. i find all the items very good, economical and fresh. i recommend dFresh. good efforts done to supply fresh vegetables to customers at their doorstep. ",1,good find item good economical fresh recommend dfresh good effort do supply fresh vegetable customer doorstep
1693,They are now delivering after two days. They have committed for next day delivery for orders before 11pm. Very bad experience now regarding delivery.,0,deliver two day commit next day delivery order 11 p.m. bad experience regard delivery
1694,"Very very addictive to buy from here..  there’s no one price Competitor of Daraz. Even in the Quality,really freshly delivered at my Door step. Too Much appreciation from top to Bottom  efforts of team and leaders ... you all are star seller.. well i feel total satisfaction in purchasing from here.. Blindly trusting you in future.. truly wrote everything...  👍👍👍",1,addictive buy there s one price competitor daraz even qualityreally freshly deliver door step much appreciation top bottom effort team leader star seller well feel total satisfaction purchase blindly trust future truly write everything
1695,"all the vegetables I ordered was very fresh, I will order
again from dmart nice packaging and quick delivery
thanks daraz 
",1,vegetable order fresh order dmart nice packaging quick delivery thank daraz
1696,"great experience in reasonable price with good quality, my family is very happy with your instant service",1,great experience reasonable price good quality family happy instant service
1697,"Receive all the things (a little late), but in amazing quality and at better than market rates. Thumbs up, and keep up the good work!",1,receive thing little late amazing quality well market rate thumb keep good work
1698,All vegetables are good fresh and at reasonable price with compare to our nearer market vegetables.,1,vegetable good fresh reasonable price compare near market vegetable
1699,"Best product in very reasonable price.
Seller is highly recommended, best wishes with five stars!",1,good product reasonable price seller highly recommend good wish five star
1700,"#HighlyRecommended
Very fresh vegetables in reasonable price,desirable quality, quick delivery.",1,highlyrecommende fresh vegetable reasonable pricedesirable quality quick delivery
1701,"Big!
Fresh!
Authentic!
Premium!
Fast shipment!
Economical Price!",1,big fresh authentic premium fast shipment economical price
1702,The product quality and packing was good. The product was fresh too. Excellent experience.,1,product quality pack good product fresh excellent experience
1703,fresh vegitables and order is little bit late but still good service thanks dfresh daraz,1,fresh vegitable order little bit late still good service thank dfresh daraz
1704,"fresh vegetables, fruits and eggs,
better than market 
thanks daraz",1,fresh vegetable fruit egg well market thank daraz
1705,"Every time i got FRESH VEGETABLES with cheap price from. 
Thanks & Keep it up DARAZ.",1,every time get fresh vegetable cheap price thank keep daraz
1706,Simply the best. Original products. Highly recommended. Five stars and best wishes ,1,simply good original product highly recommend five star good wish
1707,"excellent quality vegetables very fresh perfectly packed and timely delivered 

",1,excellent quality vegetable fresh perfectly pack timely deliver
1708,Some reason I can't took a photo but vegetable are very fresh highly recommend,1,reason can not took photo vegetable fresh highly recommend
1709,I received 1 big flower. Not satisfied as big flowers are not good in taste. ,0,receive 1 big flower satisfy big flower good taste
1710,very bed experience low quality cabbage  next time I don't use darz d fresh,0,bed experience low quality cabbage next time do not use darz fresh
1711,Using dfresh mart since april'20  every time  they delivered  fresh items ,1,use dfresh mart since april20 every time deliver fresh item
1712,Good service by daraz timely delivery and all subzi are very fresh👌👌👌,1,good service daraz timely delivery subzi fresh
1713,Very fresh product is delivered. Packaging was very nice. Recommended. ,1,fresh product deliver package nice recommend
1714,it's in a very reasonable price less than market rate wow great daraz,1,reasonable price less market rate wow great daraz
1715,Well packed.. quick delivery.. quality is also good.. fresh ek dam.. ,1,well pack quick delivery quality also good fresh ek dam
1716,"Fresh and clean cabbage, neatly packed, delivery was on time, thanks",1,fresh clean cabbage neatly pack delivery time thank
1717,delivered as shown in pictures. very good quality. highly satisfied,1,deliver show picture good quality highly satisfied
1718,Great product. Cabbages at grade B were fresh and of good quality. ,1,great product cabbage grade b fresh good quality
1719,great service fresh vegetable. ,1,great service fresh vegetable
1720,"it's just amazing. totally setisfied💕
thank u daraz and seller.",1,amazing totally setisfie thank u daraz seller
1721,on time &  one good thing that the vegs were clean and fresh.. ,1,time one good thing veg clean fresh
1722,"Fresh and good quality vegetables
Delivery is also very quick",1,fresh good quality vegetable delivery also quick
1723,Band  gobhi is also good quality that's quality we required,1,band gobhi also good quality that s quality require
1724,Very good quality of vegetables and fruits as always 👌🏻 ,1,good quality vegetable fruit always
1725,the qulity was too good...and the packing is also good.,1,qulity goodand packing also good
1726,Simply the best. Original products. Highly recommended. Five stars and best wishes ,1,simply good original product highly recommend five star good wish
1727,VERY CHEAP PRICE AND GREAT QUALITY ( FRESH AND CRISPY),1,cheap price great quality fresh crispy
1728,Good quality and next day delivery.  Will order again.,1,good quality next day delivery order
1729,Good service delivered on time with reasonable price.,1,good service deliver time reasonable price
1730,delivery on time ...Fresh vegetables thank you daraz,1,delivery time fresh vegetable thank daraz
1731,Price is quite fair as compare to the  local vendor.,1,price quite fair compare local vendor
1732,Very well packed n' fresh as always... keep it up!!,1,well pack n fresh always keep
1733,Fresh fast delivery with good discount from market,1,fresh fast delivery good discount market
1734,very good quality. very fresh. satisfied as always,1,good quality fresh satisfy always
1735,awsm quality and timely delivery.. happy customer,1,awsm quality timely delivery happy customer
1736,dFresh is always fresh..... keep up the good work,1,dfresh always fresh keep good work
1737,got fresh veg and fruit from the seller... thanks,1,get fresh veg fruit seller thank
1738,"fresh vegetables I love them 
highly recommended ",1,fresh vegetable love highly recommend
1739,Very impressive quality and fresh in good price.,1,impressive quality fresh good price
1740,"timely delivered ...fresh ...
highly recommended",1,timely deliver fresh highly recommend
1741,Always received fresh. :) :) :) :) :) with *****,1,always receive fresh
1742,very satisfy fresh vegetables and fast delivery,1,satisfy fresh vegetable fast delivery
1743,"Thanks, well packed, fresh and quality product.",1,thank well pack fresh quality product
1744,very bad quality too disappointed expensive. .,0,bad quality disappoint expensive
1745,"very bad Cabbage 
this time all were not green",0,bad cabbage time green
1746,"Best quality
delivered on time.
fresh product.",1,good quality deliver time fresh product
1747,"very good quality and fresh, hamesha ki tarah.",1,good quality fresh hamesha ki tarah
1748,Thanks for providing the fresh product on time,1,thank provide fresh product time
1749,"I didn't get my lady finger . u charged also
",0,do not get lady finger u charge also
1750,charge money for 2kg tomatoes but didn't send,0,charge money 2 kg tomato do not send
1751,"quality is good
vegetables are fresh
like it",1,quality good vegetable fresh like
1752,Vegetables are fresh and delivered on time. ,1,vegetable fresh deliver time
1753,All veg were fresh and delivery was on time.,1,veg fresh delivery time
1754,I ordered 1kg but i received only 1 cabbage ,0,order 1 kg receive 1 cabbage
1755,All vegetables are fresh and good quality ,1,vegetable fresh good quality
1756,price is low from market with good quality,1,price low market good quality
1757,Very fresh vegetables and Fast delievery ,1,fresh vegetable fast delievery
1758,hmesha ki trha bilkul fresh thanks daraz,1,hmesha ki trha bilkul fresh thank daraz
1759,fresh vegetables with really good prices,1,fresh vegetable really good price
1760,"best quality, superb , delivered on time",1,good quality superb deliver time
1761,as good as always fresh and good quality,1,good always fresh good quality
1762,"Excellent experience from daraz dfresh,",1,excellent experience daraz dfresh
